Time_In,Time_out,Total_time,Tutor_ID,Table
2020-03-27T17:35:49.000Z,2020-05-12T07:13:13.000Z,,1753990,3
2020-03-27T18:59:56.000Z,2020-03-27T21:50:56.000Z,02:51:00,1699683,9
2020-03-27T19:20:12.000Z,2020-03-27T21:59:12.000Z,02:39:00,5204243,6
2020-03-27T19:25:31.000Z,2020-03-27T22:15:31.000Z,02:50:00,1496356,6
2020-03-27T21:04:51.000Z,2020-03-27T23:55:51.000Z,02:51:00,404943,7
2020-03-27T21:39:36.000Z,2020-03-28T00:59:36.000Z,03:20:00,6102098,8
2020-03-30T17:09:54.000Z,2020-03-30T18:59:54.000Z,01:50:00,1753990,4
2020-03-30T20:01:21.000Z,2020-03-30T23:07:21.000Z,03:06:00,6304341,13
2020-03-30T20:11:59.000Z,2020-03-30T21:58:59.000Z,01:47:00,606173,13
2020-03-30T20:37:11.000Z,2020-03-31T00:31:11.000Z,03:54:00,7109780,7
2020-03-30T21:11:00.000Z,2020-03-31T00:35:00.000Z,03:24:00,7454223,8
2020-03-30T21:18:00.000Z,2020-03-30T23:38:00.000Z,02:20:00,8383371,11
2020-03-31T17:30:47.000Z,2020-03-31T19:37:47.000Z,02:07:00,8626044,11
2020-03-31T17:50:35.000Z,2020-03-31T19:26:35.000Z,01:36:00,2764364,3
2020-03-31T17:55:27.000Z,2020-03-31T21:23:27.000Z,03:28:00,7067771,14
2020-03-31T19:37:16.000Z,2020-03-31T20:46:16.000Z,01:09:00,2849732,14
2020-03-31T20:17:50.000Z,2020-03-31T23:58:50.000Z,03:41:00,7195993,3
2020-03-31T21:14:42.000Z,2020-03-31T22:50:42.000Z,01:36:00,5204243,11
2020-03-31T21:37:44.000Z,2020-03-31T23:46:44.000Z,02:09:00,391715,11
2020-04-01T17:02:24.000Z,2020-04-01T19:58:24.000Z,02:56:00,7980323,5
2020-04-01T17:18:58.000Z,2020-04-01T20:46:58.000Z,03:28:00,8996052,5
2020-04-01T17:32:41.000Z,2020-04-01T19:46:41.000Z,02:14:00,7109780,4
2020-04-01T17:43:23.000Z,2020-04-01T18:56:23.000Z,01:13:00,5313296,9
2020-04-01T19:32:47.000Z,2020-04-01T21:18:47.000Z,01:46:00,5301814,2
2020-04-01T19:37:14.000Z,2020-04-01T21:21:14.000Z,01:44:00,2382928,1
2020-04-01T20:24:05.000Z,2020-04-01T21:40:05.000Z,01:16:00,7372648,1
2020-04-01T20:45:46.000Z,2020-04-01T22:57:46.000Z,02:12:00,8146546,10
2020-04-01T21:46:31.000Z,2020-04-01T23:33:31.000Z,01:47:00,5098338,7
2020-04-02T17:46:42.000Z,2020-04-02T20:19:42.000Z,02:33:00,5334466,13
2020-04-02T17:52:26.000Z,2020-04-02T20:50:26.000Z,02:58:00,8636887,2
2020-04-02T17:53:31.000Z,2020-04-02T20:17:31.000Z,02:24:00,4999354,1
2020-04-02T18:33:51.000Z,2020-04-02T21:36:51.000Z,03:03:00,5789122,5
2020-04-02T19:06:09.000Z,2020-04-02T22:45:09.000Z,03:39:00,1013591,11
2020-04-02T19:15:03.000Z,2020-04-02T22:34:03.000Z,03:19:00,2849732,10
